,scheme_name,category,benchmark,latest NAV- Regular,latest NAV- Direct,1-Year Return(%)- Regular,1-Year Return(%)- Direct,3-Year Return(%)- Regular,3-Year Return(%)- Direct,5-Year Return(%)- Regular,5-Year Return(%)- Direct
0,Aditya Birla Sun Life Frontline Equity Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,27.86,28.71,17.36,18.16,16.32,17.10
1,Axis Bluechip Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,24.38,25.52,12.10,13.26,14.43,15.70
2,Bandhan Large Cap Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,29.84,31.41,17.40,18.86,16.62,17.98
3,Bank of India Bluechip Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,41.45,43.01,NA,NA,NA,NA
4,Baroda BNP Paribas Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,36.65,38.26,19.69,21.13,18.74,20.14
5,Canara Robeco Bluechip Equity Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,26.35,27.90,15.76,17.36,18.04,19.70
6,DSP Top 100 Equity Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,31.28,32.32,16.15,17.07,15.14,16.03
7,Edelweiss Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,29.84,31.85,18.00,19.82,17.23,19.03
8,Franklin India Bluechip Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,24.48,25.59,12.99,13.91,14.76,15.65
9,Groww Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,30.07,31.73,16.78,18.31,14.02,15.60
10,HDFC Top 100 Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,32.06,32.83,20.74,21.45,16.67,17.34
11,HSBC Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,29.63,30.83,16.65,17.75,15.95,17.17
12,ICICI Prudential Bluechip Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,36.74,37.53,21.27,22.00,18.91,19.63
13,Invesco India Largecap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,35.21,37.13,19.43,21.17,17.29,18.93
14,ITI Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,35.68,38.39,16.02,18.47,NA,NA
15,JM Large Cap Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,43.12,44.49,21.23,22.30,17.63,18.74
16,Kotak Bluechip Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,28.17,29.71,17.07,18.53,17.58,18.99
17,LIC MF Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,22.34,23.53,15.16,15.71,15.94,16.30
18,Mahindra Manulife Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,29.79,31.95,15.94,18.04,16.16,18.31
19,Mirae Asset Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,20.14,21.34,14.18,15.36,14.80,16.02
20,Nippon India Large Cap Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,36.83,37.99,24.75,25.80,18.80,19.81
21,PGIM India Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,20.15,22.00,12.46,14.17,13.63,15.30
22,Quant Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,,Very High,48.60,50.98,NA,NA,NA,NA
23,SBI Bluechip Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,21.93,22.80,16.37,17.21,16.42,17.29
24,Sundaram Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,24.74,26.38,16.01,17.63,15.39,16.82
25,Tata Large Cap Fund,Large Cap,NIFTY 100 Total Return Index,Very High,Very High,30.52,31.78,18.22,19.38,16.57,17.65
26,Taurus Large Cap Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,35.15,35.27,17.36,17.46,15.22,15.36
27,Union Largecap Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,29.28,30.29,17.03,17.87,16.13,16.92
28,UTI Large Cap Fund,Large Cap,S&P BSE 100 Total Return Index,Very High,Very High,23.77,24.89,14.33,15.37,15.66,16.70
29,WhiteOak Capital Large Cap Fund,Large Cap,S&P BSE 100 Total Return Index,,Very High,31.55,33.79,NA,NA,NA,NA
0,Aditya Birla Sun Life Equity Advantage Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,31.11,32.19,14.11,15.08,15.89,16.90
1,Axis Growth Opportunities Fund,Large & Mid Cap,NIFTY Large Midcap 250 Total Return Index,Very High,Very High,38.87,40.51,20.10,21.71,22.47,24.26
